"","ecoregion","X","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3.x","Level3.y"
"90","Colorado Plateaus",89,7052,"Southern_Rocky_Mountain_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",361.0494,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",722848,"CES306.825",4239,8992.6605,0.0401,"10.1.6","10.1.6"
"91","Colorado Plateaus",94,7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",17.01,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.0055,"10.1.6","10.1.6"
"92","Colorado Plateaus",95,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",8667.8262,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0.0895,"10.1.6","10.1.6"
"93","Colorado Plateaus",96,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",25421.6151,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.09,"10.1.6","10.1.6"
"94","Colorado Plateaus",97,7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",5005.6947,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0.2515,"10.1.6","10.1.6"
"95","Colorado Plateaus",98,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",2262.33,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0265,"10.1.6","10.1.6"
"96","Colorado Plateaus",99,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",145.1358,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,8e-04,"10.1.6","10.1.6"
"97","Colorado Plateaus",100,7066,"Inter_Mountain_Basins_Mat_Saltbush_Shrubland",3289.248,"Inter Mountain Basins Mat Saltbush Shrubland",722889,"CES304.783",5203,10939.5846,0.3007,"10.1.6","10.1.6"
"98","Colorado Plateaus",92,7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",2269.5795,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.1465,"10.1.6","10.1.6"
"99","Colorado Plateaus",93,7019,"Great_Basin_Pinyon_Juniper_Woodland",92.2752,"Great Basin Pinyon Juniper Woodland",722899,"CES304.773",4206,22745.7234,0.0041,"10.1.6","10.1.6"
"100","Colorado Plateaus",91,7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",0.8748,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0,"10.1.6","10.1.6"
"101","Columbia Mountains/Northern Rockies",103,7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",0.4698,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0,"6.2.3","6.2.3"
