"","ecoregion","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3"
"112","Columbia Plateau",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",20320.146,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.1121,"10.1.2"
"113","Columbia Plateau",7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",6.0345,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,8e-04,"10.1.2"
"114","Cross Timbers",7423,"Southeastern_Great_Plains_Tallgrass_Prairie",17588.3238,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.1628,"9.4.5"
"115","Cross Timbers",7364,"Ozark_Ouachita_Dry_Oak_Woodland",0.0081,"Ozark Ouachita Dry Oak Woodland",722953,"CES202.707",4306,58336.0137,0,"9.4.5"
"116","Driftless Area",7310,"North_Central_Interior_Dry_Mesic_Oak_Forest_and_Woodland",7617.969,"North Central Interior Dry Mesic Oak Forest and Woodland",722663,"CES202.046",4116,141605.9334,0.0538,"8.1.5"
"117","Driftless Area",7421,"Central_Tallgrass_Prairie",7499.2716,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.031,"8.1.5"
"118","East Central Texas Plains",7423,"Southeastern_Great_Plains_Tallgrass_Prairie",172.7892,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.0016,"8.3.8"
"119","Eastern Cascades Slopes and Foothills",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",805.8366,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0094,"6.2.8"
"120","Eastern Cascades Slopes and Foothills",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",5231.1501,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.0185,"6.2.8"
"121","Eastern Cascades Slopes and Foothills",7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",3143.9016,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,0.3979,"6.2.8"
