ELEMENT_GLOBAL_ID,ELCODE,ESLF_CD,INACTIVE_IND,STATUS,GLOBAL_NAME,OTHER_NAME,CLASSIF_RESP,STAKEHOLDERS,WEST_LEGEND_IND,EAST_LEGEND_IND,ESLF_CD,BPS_CD,EVT_CD,LAND_COVER,CULTIVATED,SPARSE_VEGETATION,UPLAND,WETLAND,SPATIAL_PATTERN,ESLF_Pixel_Ct_30m,ESLF_SqKm_Calc_30m
722939,CES302.733,5301,N,1,Apacherian-Chihuahuan Mesquite Upland Scrub,,West,"Latin America, Southeast, West",Y,Y,5301,1095,2095,Shrubland,N,N,Y,N,Large patch,81579517,73421.56
722937,CES302.735,5450,N,1,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Pastizales Semi-desérticos y de la Estepa Apacherian-Chihuahua,West,"Latin America, Southeast, West",Y,Y,5450,1121,2121,Steppe/Savanna,N,N,Y,N,Large patch,46382819,41744.53
723013,CES202.593,4313,N,1,Appalachian (Hemlock)-Northern Hardwood Forest,,East,"East, Midwest, Southeast",N,Y,4313,1370,2370,Forest and Woodland,N,N,Y,N,Matrix,76752129,69076.91
723010,CES202.598,4147,N,1,Appalachian Shale Barrens,,East,"East, Southeast",N,Y,4147,1340,2340,Forest and Woodland,N,N,Y,N,Small patch,704987,634.48
723184,CES202.312,7128,N,1,Arkansas Valley Prairie and Woodland,,Southeast,"Midwest, Southeast",N,Y,7128,1415,2415,Herbaceous,N,N,Y,N,Large patch,58159,52.34
723238,CES203.247,9322,N,1,Atlantic Coastal Plain Blackwater Stream Floodplain Forest,,Southeast,"East, Southeast",N,N,9322,,,Woody Wetland,N,N,N,Y,Linear,8882520,7994.26
723237,CES203.248,9320,N,1,Atlantic Coastal Plain Brownwater Stream Floodplain Forest,,Southeast,"East, Southeast",N,N,9320,,,Woody Wetland,N,N,N,Y,Linear,1192,1.07
723240,CES203.245,9128,N,1,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,,Southeast,Southeast,N,Y,9128,1459,2459,Woody Wetland,N,N,N,Y,Small patch,110488,99.43
723242,CES203.243,9295,N,1,Atlantic Coastal Plain Embayed Region Seagrass Bed,,Southeast,"East, Southeast",N,N,9295,,,Herbaceous Wetland,N,N,N,Y,Large patch,,
723227,CES203.259,9276,N,1,Atlantic Coastal Plain Embayed Region Tidal Freshwater Marsh,,Southeast,"East, Southeast",N,N,9276,,,Herbaceous Wetland,N,N,N,Y,Small patch,68994,62.09
723226,CES203.260,9261,N,1,Atlantic Coastal Plain Embayed Region Tidal Salt and Brackish Marsh,,Southeast,"East, Southeast",N,N,9261,,,Herbaceous Wetland,N,N,N,Y,Large patch,684161,615.74
723231,CES203.254,4249,N,1,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,,Southeast,Southeast,N,Y,4249,1346,2346,Forest and Woodland,N,N,Y,N,Matrix,6499383,5849.44
723230,CES203.256,9254,N,1,Atlantic Coastal Plain Indian River Lagoon Seagrass Bed,,Southeast,Southeast,N,N,9254,,,Herbaceous Wetland,N,N,N,Y,Small patch,,
